mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall
1.1987698554992676,0.04925981946130643,0.1217719554901123,0.007572583723157523,1.0,0.01,0.0001,200,2,7,0.2,0.5,0.9,"{'subsample': 1.0, 'reg_lambda': 0.01, 'reg_alpha': 0.0001, 'n_estimators': 200, 'min_child_weight': 2, 'max_depth': 7, 'learning_rate': 0.2, 'gamma': 0.5, 'colsample_bytree': 0.9}",0.9489862513052557,0.9539196896634776,0.9593541659193514,0.9494703883818532,0.9520710453359844,0.9527603081211844,0.0037514073666084003,1,0.8777292576419214,0.8854961832061069,0.8968560397131826,0.8837719298245614,0.8918032786885246,0.8871313378148595,0.00661445874968512,1,0.8733031674208145,0.8811544991511036,0.8941709111488398,0.8800226372382569,0.8879456706281834,0.8833193771174397,0.0071419609297317735,2,0.8481012658227848,0.8547368421052631,0.8751345532831001,0.8565356004250797,0.8616684266103485,0.8592353376493153,0.00905756676309934,4,0.9095022624434389,0.918552036199095,0.919683257918552,0.912797281993205,0.9241223103057757,0.9169314297720133,0.005180567367449392,16
2.198693370819092,0.12665676725169084,0.12854280471801757,0.021926641027718987,0.95,0.01,0.1,200,2,10,0.15,0.5,0.9,"{'subsample': 0.95, 'reg_lambda': 0.01, 'reg_alpha': 0.1, 'n_estimators': 200, 'min_child_weight': 2, 'max_depth': 10, 'learning_rate': 0.15, 'gamma': 0.5, 'colsample_bytree': 0.9}",0.9516172375667984,0.953512296111057,0.955614600574963,0.9488900447364241,0.9518366018765725,0.9522941561731629,0.002225523099922555,2,0.8835429196282122,0.8813186813186813,0.887292817679558,0.8840021990104453,0.8835690968443961,0.8839451428962585,0.0019189411905461906,6,0.879524886877828,0.8777589134125636,0.8845500848896435,0.8805885681946802,0.8788907753254103,0.8802626457400251,0.002331666873674294,6,0.855026455026455,0.8568376068376068,0.8671706263498921,0.8589743589743589,0.8502617801047121,0.857654165458605,0.00555922530810978,10,0.9140271493212669,0.9072398190045249,0.9083710407239819,0.9105322763306908,0.9195922989807475,0.9119525168722424,0.004465958939640949,32
3.159225416183472,0.13459948713660513,0.1363600254058838,0.008789014920411781,0.6,0.1,0.0001,150,2,10,0.05,0.0,0.95,"{'subsample': 0.6, 'reg_lambda': 0.1, 'reg_alpha': 0.0001, 'n_estimators': 150, 'min_child_weight': 2, 'max_depth': 10, 'learning_rate': 0.05, 'gamma': 0.0, 'colsample_bytree': 0.95}",0.9492050736061914,0.9540055241540819,0.9583356820383002,0.9478741230789728,0.9505567711883081,0.9519954348131708,0.0037704183623455505,3,0.8803046789989118,0.8836701256144184,0.8898678414096917,0.882062534284147,0.8846778559826746,0.8841166072579687,0.0032354614227629607,5,0.8755656108597285,0.8794567062818336,0.8868138087153368,0.878324844368987,0.8794567062818336,0.8799235353015439,0.003727171703115382,7,0.8480083857442348,0.8542766631467793,0.8669527896995708,0.8553191489361702,0.8475103734439834,0.8544134721941476,0.007024974809402106,20,0.915158371040724,0.915158371040724,0.9140271493212669,0.9105322763306908,0.9252548131370328,0.9160261961740878,0.004916359538080944,21
2.9108886241912844,0.10506921991277492,0.042376375198364256,0.006959914881159221,0.95,5.0,0.1,200,2,10,0.03,0.5,1.0,"{'subsample': 0.95, 'reg_lambda': 5.0, 'reg_alpha': 0.1, 'n_estimators': 200, 'min_child_weight': 2, 'max_depth': 10, 'learning_rate': 0.03, 'gamma': 0.5, 'colsample_bytree': 1.0}",0.9471358592166418,0.9550214458115331,0.9586943933423182,0.9493999272328497,0.9493755861086486,0.9519254423423984,0.004271394035208967,4,0.8770979967514889,0.8868234007654456,0.8892561983471075,0.8863387978142077,0.8835950189496481,0.8846222825255795,0.004169764236682692,3,0.871606334841629,0.8828522920203735,0.8862478777589134,0.8822863610639502,0.878324844368987,0.8802635420107707,0.0050062257719028355,4,0.8411214953271028,0.8582010582010582,0.8668098818474759,0.856388595564942,0.8464730290456431,0.8537988119972443,0.00905269178778482,23,0.916289592760181,0.917420814479638,0.9128959276018099,0.9184597961494904,0.9241223103057757,0.9178376882593791,0.003657181272853864,12
17.915962648391723,0.42945221209094936,1.1170631885528564,0.03492538405930209,0.8,0.01,0.01,250,1,10,0.02,1.0,1.0,"{'subsample': 0.8, 'reg_lambda': 0.01, 'reg_alpha': 0.01, 'n_estimators': 250, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.02, 'gamma': 1.0, 'colsample_bytree': 1.0}",0.9477616142175631,0.9550163213643327,0.9578437351070753,0.9492385071460416,0.9493711022173483,0.9518462560104723,0.0038892186587506736,5,0.8741865509761388,0.8824809575625681,0.888030888030888,0.8876772082878953,0.8830886351277868,0.8830928479970555,0.005001942681175692,11,0.8687782805429864,0.8777589134125636,0.8851160158460668,0.8834182229767968,0.878324844368987,0.8786792554294802,0.005707742783376603,12,0.8395833333333333,0.850104821802935,0.8665231431646933,0.8559411146161935,0.8493723849372385,0.8523049595708787,0.008839216509720641,26,0.9117647058823529,0.917420814479638,0.9106334841628959,0.9218573046432617,0.9195922989807475,0.9162537216297792,0.004373709606326844,19
12.014168071746827,0.7998045378727573,1.2703999042510987,0.15644482398072443,0.85,5.0,0.01,500,5,9,0.02,2.0,0.95,"{'subsample': 0.85, 'reg_lambda': 5.0, 'reg_alpha': 0.01, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 9, 'learning_rate': 0.02, 'gamma': 2.0, 'colsample_bytree': 0.95}",0.9479791568559203,0.9546845134081162,0.9590774457705376,0.9491193637486357,0.9475435962345562,0.9516808152035532,0.004496937525126862,6,0.8751357220412594,0.8874316939890711,0.8882773802971932,0.8854794520547945,0.8833151581243184,0.8839278813013273,0.004717620391996117,7,0.8699095022624435,0.8834182229767968,0.8851160158460668,0.8817204301075269,0.8788907753254103,0.879810989303649,0.00536073959384095,8,0.8413361169102297,0.8583509513742071,0.864951768488746,0.8577494692144374,0.8517350157728707,0.8548246643520981,0.007937685585537209,18,0.9117647058823529,0.918552036199095,0.9128959276018099,0.9150622876557192,0.9173272933182333,0.915120450131442,0.0025635460836315907,24
1.7490522861480713,0.18671808925337466,0.12992291450500487,0.017712683676543065,1.0,20.0,1.0,500,7,5,0.2,0.2,0.85,"{'subsample': 1.0, 'reg_lambda': 20.0, 'reg_alpha': 1.0, 'n_estimators': 500, 'min_child_weight': 7, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 0.2, 'colsample_bytree': 0.85}",0.9498013963678058,0.9532676037572447,0.9571801191946419,0.9476781129735631,0.9484864945194037,0.9512827453625319,0.003513558573417881,7,0.8797814207650273,0.8848684210526315,0.8897464167585446,0.8815426997245179,0.8853711790393013,0.8842620274680044,0.003439390529760698,4,0.8755656108597285,0.8811544991511036,0.8868138087153368,0.878324844368987,0.8811544991511036,0.8806026524492518,0.0037349090846103103,3,0.8509513742071881,0.8585106382978723,0.867741935483871,0.8583690987124464,0.8545837723919916,0.8580313638186737,0.005597340627367453,9,0.9106334841628959,0.9128959276018099,0.9128959276018099,0.9060022650056625,0.9184597961494904,0.9121774801043339,0.004025345537628433,30
2.502514934539795,0.07949068334949808,0.14142270088195802,0.018253885943956244,0.9,20.0,0.1,200,1,7,0.1,0.2,0.8,"{'subsample': 0.9, 'reg_lambda': 20.0, 'reg_alpha': 0.1, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 0.8}",0.9499165659998772,0.9529972891674311,0.9566676744746162,0.9480470731719816,0.9481431565569864,0.9511543518741785,0.0032877875845432696,8,0.8796498905908097,0.8871766648321409,0.8879023307436182,0.8782894736842105,0.8856048166392994,0.8837246352980157,0.003976160339168349,9,0.8755656108597285,0.8839841539332202,0.8856819468024901,0.8743633276740238,0.8817204301075269,0.8802630938753978,0.004521231509361817,5,0.8516949152542372,0.8638799571275455,0.8714596949891068,0.8512221041445271,0.8569915254237288,0.859049639387829,0.007706355268854667,5,0.9095022624434389,0.9117647058823529,0.9049773755656109,0.9071347678369196,0.9161947904869762,0.9099147804430597,0.0038765283024066897,36
0.8437483787536622,0.09618760678169037,0.07943811416625976,0.008245266301208216,1.0,0.1,0.001,150,1,4,0.08,0.1,1.0,"{'subsample': 1.0, 'reg_lambda': 0.1, 'reg_alpha': 0.001, 'n_estimators': 150, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.08, 'gamma': 0.1, 'colsample_bytree': 1.0}",0.9463079175283061,0.9554429315937544,0.95773740282767,0.9487875557924189,0.9474449506259512,0.9511441516736202,0.004573341509854669,9,0.8741865509761388,0.8899728997289973,0.8874244920373421,0.8799126637554585,0.8850512682137075,0.883309574942329,0.005641533608198925,10,0.8687782805429864,0.8851160158460668,0.8839841539332202,0.8754951895868704,0.8794567062818336,0.8785660692381955,0.005971294433318628,13,0.8395833333333333,0.854318418314256,0.8623265741728922,0.8493150684931506,0.845360824742268,0.85018084381118,0.007757933588810551,36,0.9117647058823529,0.9287330316742082,0.9140271493212669,0.912797281993205,0.928652321630804,0.9191948981003675,0.007787961576711151,9
2.3481730461120605,0.023808622995164952,0.1361392021179199,0.006338645762611977,0.85,10.0,0.001,400,2,3,0.15,0.2,0.6,"{'subsample': 0.85, 'reg_lambda': 10.0, 'reg_alpha': 0.001, 'n_estimators': 400, 'min_child_weight': 2, 'max_depth': 3, 'learning_rate': 0.15, 'gamma': 0.2, 'colsample_bytree': 0.6}",0.9489504207530558,0.9538031084896716,0.9571263124990391,0.9468799803221227,0.9481521243395868,0.9509823892806952,0.003864538895297964,10,0.8863512778684067,0.8918176825919825,0.8916064480266815,0.8798683488754799,0.8856209150326797,0.8870529344790462,0.004418112316300386,2,0.8817873303167421,0.8885116015846066,0.8896434634974533,0.8760611205432938,0.8811544991511036,0.8834316030186397,0.005032026285694606,1,0.8534031413612565,0.8665955176093917,0.8765027322404372,0.8531914893617021,0.8530954879328436,0.8605576737011262,0.009506131411332478,1,0.9219457013574661,0.918552036199095,0.9072398190045249,0.9082672706681767,0.9207248018120046,0.9153459258082535,0.00630213954633768,23
