Metric,Baseline XGBoost,Tuned XGBoost,Absolute Delta,Percentage Delta
Accuracy,0.8791855203619909,0.8733031674208145,-0.00588235294117645,-0.6690684508491999
Precision,0.8521008403361344,0.8463476070528967,-0.005753233283237735,-0.675182209768531
Recall,0.9176470588235294,0.9122171945701357,-0.005429864253393646,-0.5917159763313589
F1-Score,0.8836601307189542,0.8780487804878049,-0.005611350231149337,-0.6350122672824323
ROC-AUC,0.948086239020495,0.9455580352572633,-0.0025282037632317067,-0.26666390241500526
