Model,CV Accuracy,CV Precision,CV Recall,CV F1,CV ROC-AUC,Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC-AUC
Logistic Regression,0.8082856389258067,0.7990533463169679,0.8239029839656048,0.8112557958166745,0.8898559956136587,0.8099547511312217,0.800702370500439,0.8253393665158371,0.8128342245989305,0.8878630658667923
Random Forest,0.8752836056716011,0.8465272247548388,0.9169316859943735,0.8802737383387023,0.9475411287900417,0.8742081447963801,0.8437240232751455,0.918552036199095,0.8795493934142115,0.9439532360107287
XGBoost,0.8796975470350082,0.8552792685640093,0.9142157289782364,0.8837339706584106,0.9526378912222695,0.8791855203619909,0.8521008403361344,0.9176470588235294,0.8836601307189542,0.948086239020495
