Evaluation,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Cross-Validation Mean,0.8833193771174397,0.8592353376493153,0.9169314297720133,0.8871313378148595,0.9527603081211844
Cross-Validation Std,0.0071419609297317735,0.00905756676309934,0.005180567367449392,0.00661445874968512,0.0037514073666084003
Held-Out Test,0.8733031674208145,0.8463476070528967,0.9122171945701357,0.8780487804878049,0.9455580352572633
